99,623,46,480,933
49,860,128,992
37,931,20,437,873
71,928,296,797
58,963,38,252,763
72,889,723,70,985
42,948,63,23,855
57,858,254,296,928
81,859,75,388,857
97,882,2,800
102,972,5,964
61,979,421,171,729
29,944,481,714
75,855,98,931
101,882,488,517,950
80,824,1,946
74,928,890,211,851
101,994,33,963
67,908,36,665,870
104,972,630,978
77,917,441,886
85,996,210,636
68,979,307,981
59,883,743,83,953
102,994,175,724
48,998,4,870
25,980,11,931
100,623,27,987
48,835,82,940
53,951,473,230,883
69,989,382,441,917
57,841,197,808
125,803,20,850,857
30,975,363,240,904
53,903,434,797
100,917,441,300,981
61,886,28,868
49,995,126,64,896
74,925,3,928
61,903,432,801,987
48,993,393,63,886
102,882,488,630,978
68,763,65,623
29,980,60,962
84,824,150,872
102,851,9,775
39,973,11,911
75,987,37,22,984
71,979,49,205,933
122,999,36,964
48,964,118,129,925
65,939,55,951
42,873,437,414,763
92,765,24,457,989
97,765,18,803
42,975,13,974
104,929,27,806,936
78,989,246,391,925
92,919,136,96,981
97,857,21,107,858
97,937,127,308,950
64,963,131,929
49,815,488,210,912
29,714,495,803
42,962,29,946
30,922,23,803
98,824,23,394,929
58,858,60,623
71,965,128,969
40,942,541,748,873
76,855,23,925
92,911,203,379,889
42,942,381,128,969
145,950,258,654,900
80,855,759,787
104,994,237,694,948
101,857,750,210,978
48,873,5,962
71,953,685,103,882
75,797,5,677,944
122,824,23,842,963
88,996,32,152,893
61,951,13,89,950
20,872,150,636
90,928,103,588,987
123,981,33,113,833
97,833,113,48,917
71,908,595,142,824
90,925,14,413,913
56,682,6,868
81,987,164,808
73,889,201,883
71,940,29,965
90,946,274,172,975
48,877,36,912
69,775,413,933
97,914,1,946
89,996,545,501,961
101,937,29,399,682
57,682,399,82,940
71,893,414,841
82,859,75,103,928
71,900,576,32,833
90,969,18,194,787
69,841,36,230,942
