Epoch,Total Event,Max,Min,Mean,Std Dev
408,61,8,5,6.100000,0.994429
409,55,8,4,5.500000,1.269296
410,54,7,4,5.400000,0.843274
411,44,7,4,4.400000,0.966092
412,44,5,4,4.400000,0.516398
413,48,6,4,4.800000,0.632456
414,41,5,3,4.100000,0.567646
415,45,9,3,4.500000,1.715938
416,47,6,4,4.700000,0.674949
417,52,7,4,5.200000,1.032796
418,52,9,4,5.200000,1.686548
419,55,7,5,5.500000,0.849837
420,57,7,5,5.700000,0.674949
421,59,8,5,5.900000,0.994429
422,55,7,5,5.500000,0.707107
423,51,9,4,5.100000,1.449138
424,55,7,4,5.500000,1.080123
425,54,7,4,5.400000,1.264911
426,54,7,4,5.400000,1.173788
427,53,7,4,5.300000,0.948683
428,57,6,5,5.700000,0.483046
429,72,11,5,7.200000,1.686548
430,74,10,6,7.400000,1.264911
431,60,10,4,6.000000,2.000000
432,59,8,5,5.900000,0.875595
433,69,9,6,6.900000,0.994429
434,73,11,4,7.300000,2.406011
435,68,11,5,6.800000,1.813529
436,58,8,5,5.800000,0.918937
437,64,8,5,6.400000,0.966092
438,66,9,5,6.600000,1.173788
439,53,9,4,5.300000,1.418136
440,64,7,5,6.400000,0.699206
441,73,10,5,7.300000,1.766981
442,54,7,5,5.400000,0.699206
443,71,9,6,7.100000,1.197219
444,66,8,5,6.600000,0.843274
445,68,8,6,6.800000,0.918937
446,53,7,4,5.300000,0.823273
447,57,8,5,5.700000,1.059350
448,68,11,5,6.800000,1.932184
449,62,9,5,6.200000,1.398412
450,51,7,4,5.100000,0.737865
451,43,5,4,4.300000,0.483046
452,50,6,4,5.000000,0.816497
453,57,8,4,5.700000,1.059350
454,49,6,4,4.900000,0.567646
455,41,5,3,4.100000,0.737865
456,58,7,5,5.800000,0.788811
457,45,6,4,4.500000,0.707107
458,52,6,4,5.200000,0.632456
459,62,10,4,6.200000,2.149935
460,57,9,4,5.700000,1.766981
461,49,9,4,4.900000,1.523884
462,35,4,3,3.500000,0.527046
463,51,7,4,5.100000,0.875595
464,46,8,3,4.600000,1.505545
465,48,6,4,4.800000,0.788811
