Epoch,Total Event,Max,Min,Mean,Std Dev
322,49,9,4,4.9,1.911951
323,47,6,4,4.7,0.823273
324,45,5,4,4.5,0.527046
325,45,5,4,4.5,0.527046
326,48,8,4,4.8,1.229273
327,54,7,5,5.4,0.699206
328,50,7,4,5,0.942809
329,55,7,5,5.5,0.707107
330,70,9,6,7,1.154701
331,63,10,5,6.3,1.567021
332,68,9,5,6.8,1.316561
333,51,7,4,5.1,0.994429
334,45,6,4,4.5,0.707107
335,42,6,3,4.2,0.918937
336,48,6,4,4.8,0.788811
337,59,11,4,5.9,1.969207
338,91,15,7,9.1,2.514403
339,65,10,5,6.5,1.509231
340,58,7,5,5.8,0.788811
341,66,9,5,6.6,1.349897
342,60,7,5,6,0.666667
343,45,5,4,4.5,0.527046
344,51,8,4,5.1,1.37032
345,48,9,4,4.8,1.549193
346,57,8,4,5.7,1.05935
347,51,7,4,5.1,0.994429
348,56,7,5,5.6,0.843274
349,73,11,6,7.3,1.494434
350,105,18,7,10.5,3.308239
351,97,19,7,9.7,3.560587
352,82,12,7,8.2,1.619328
353,60,8,5,6,1.154701
354,71,10,6,7.1,1.100505
355,62,8,5,6.2,0.918937
356,55,7,5,5.5,0.849837
357,46,6,4,4.6,0.966092
358,54,6,5,5.4,0.516398
359,59,7,5,5.9,0.875595
360,62,8,5,6.2,1.032796
361,54,7,4,5.4,1.074968
362,51,7,4,5.1,0.994429
363,51,6,4,5.1,0.737865
364,58,7,5,5.8,0.632456
365,54,7,5,5.4,0.699206
366,59,12,4,5.9,2.378141
367,61,12,4,6.1,2.469818
368,57,8,5,5.7,1.05935
369,52,14,4,5.2,3.119829
370,54,10,4,5.4,1.776388
371,43,6,4,4.3,0.674949
372,44,6,4,4.4,0.699206
373,50,6,4,5,0.666667
374,53,7,4,5.3,1.251666
375,55,8,4,5.5,1.080123
376,54,7,5,5.4,0.699206
377,60,8,5,6,1.054093
378,59,7,5,5.9,0.875595
379,57,9,4,5.7,1.567021
380,42,9,3,4.2,1.813529
381,61,8,5,6.1,0.994429
382,46,6,4,4.6,0.699206
383,60,8,5,6,1.154701
384,61,9,4,6.1,1.852926
385,62,10,4,6.2,2.299758
386,50,6,4,5,0.816497
387,45,8,4,4.5,1.269296
388,46,5,4,4.6,0.516398
389,50,7,4,5,0.942809
390,46,7,4,4.6,1.074968
391,44,6,4,4.4,0.699206
392,44,6,4,4.4,0.843274
393,43,7,4,4.3,0.948683
394,45,5,4,4.5,0.527046
395,45,6,4,4.5,0.849837
396,44,6,4,4.4,0.699206
397,46,5,4,4.6,0.516398
398,51,7,4,5.1,1.100505
399,58,10,4,5.8,1.813529
400,60,12,4,6,2.309401
401,52,6,5,5.2,0.421637
402,61,7,5,6.1,0.567646
403,87,15,7,8.7,2.406011
404,95,15,7,9.5,2.460804
405,77,11,6,7.7,1.636392
406,68,16,5,6.8,3.32666
407,76,14,6,7.6,2.412928
408,61,8,5,6.1,0.994429
409,55,8,4,5.5,1.269296
410,54,7,4,5.4,0.843274
411,44,7,4,4.4,0.966092
412,44,5,4,4.4,0.516398
413,48,6,4,4.8,0.632456
414,41,5,3,4.1,0.567646
415,45,9,3,4.5,1.715938
416,47,6,4,4.7,0.674949
417,52,7,4,5.2,1.032796
418,52,9,4,5.2,1.686548
419,55,7,5,5.5,0.849837
420,57,7,5,5.7,0.674949
421,59,8,5,5.9,0.994429
422,55,7,5,5.5,0.707107
423,51,9,4,5.1,1.449138
424,55,7,4,5.5,1.080123
425,54,7,4,5.4,1.264911
426,54,7,4,5.4,1.173788
427,53,7,4,5.3,0.948683
428,57,6,5,5.7,0.483046
429,72,11,5,7.2,1.686548
430,74,10,6,7.4,1.264911
431,60,10,4,6,2
432,59,8,5,5.9,0.875595
433,69,9,6,6.9,0.994429
434,73,11,4,7.3,2.406011
435,68,11,5,6.8,1.813529
436,58,8,5,5.8,0.918937
437,64,8,5,6.4,0.966092
438,66,9,5,6.6,1.173788
439,53,9,4,5.3,1.418136
440,64,7,5,6.4,0.699206
441,73,10,5,7.3,1.766981
442,54,7,5,5.4,0.699206
443,71,9,6,7.1,1.197219
444,66,8,5,6.6,0.843274
445,68,8,6,6.8,0.918937
446,53,7,4,5.3,0.823273
447,57,8,5,5.7,1.05935
448,68,11,5,6.8,1.932184
449,62,9,5,6.2,1.398412
450,51,7,4,5.1,0.737865
451,43,5,4,4.3,0.483046
452,50,6,4,5,0.816497
453,57,8,4,5.7,1.05935
454,49,6,4,4.9,0.567646
455,41,5,3,4.1,0.737865
456,58,7,5,5.8,0.788811
457,45,6,4,4.5,0.707107
458,52,6,4,5.2,0.632456
459,62,10,4,6.2,2.149935
460,57,9,4,5.7,1.766981
461,49,9,4,4.9,1.523884
462,35,4,3,3.5,0.527046
463,51,7,4,5.1,0.875595
464,46,8,3,4.6,1.505545
465,48,6,4,4.8,0.788811
466,47,8,3,4.7,1.337494
467,53,6,5,5.3,0.483046
468,55,7,5,5.5,0.707107
469,54,8,4,5.4,1.173788
470,73,13,6,7.3,2.110819
471,53,7,4,5.3,0.948683
472,46,8,3,4.6,1.349897
473,52,7,4,5.2,0.918937
474,52,8,4,5.2,1.229273
475,71,8,7,7.1,0.316228
476,67,12,5,6.7,2.406011
477,55,9,4,5.5,1.581139
478,57,7,5,5.7,0.823273
479,45,5,4,4.5,0.527046
480,54,6,4,5.4,0.699206
481,49,6,4,4.9,0.737865
482,41,6,3,4.1,0.875595
483,37,5,3,3.7,0.823273
484,76,9,7,7.6,0.699206
485,84,12,6,8.4,2.270585
486,70,10,5,7,1.763834
487,49,5,4,4.9,0.316228
488,47,6,4,4.7,0.823273
489,42,5,4,4.2,0.421637
490,63,7,6,6.3,0.483046
491,56,8,5,5.6,0.966092
492,55,9,5,5.5,1.269296
493,50,5,5,5,0
494,48,7,4,4.8,1.032796
495,58,7,5,5.8,0.918937
496,39,5,3,3.9,0.567646
497,37,5,3,3.7,0.674949
498,38,6,3,3.8,0.918937
499,43,6,4,4.3,0.674949
500,46,7,4,4.6,1.074968
501,43,6,3,4.3,0.823273
502,45,7,3,4.5,1.178511
503,46,6,4,4.6,0.699206
504,41,6,3,4.1,0.875595
505,49,7,4,4.9,0.875595
506,47,6,4,4.7,0.823273
507,33,5,3,3.3,0.674949
508,32,4,3,3.2,0.421637
509,36,5,2,3.6,0.966092
510,33,4,3,3.3,0.483046
511,32,4,3,3.2,0.421637
512,36,4,3,3.6,0.516398
513,38,7,3,3.8,1.229273
514,35,6,2,3.5,1.080123
515,33,4,3,3.3,0.483046
516,36,4,3,3.6,0.516398
517,33,5,3,3.3,0.674949
518,29,5,2,2.9,0.875595
519,27,3,2,2.7,0.483046
520,24,3,2,2.4,0.516398
521,27,4,2,2.7,0.823273
522,34,4,3,3.4,0.516398
523,27,4,2,2.7,0.823273
524,26,4,2,2.6,0.843274
525,33,4,3,3.3,0.483046
526,26,4,2,2.6,0.699206
527,33,4,3,3.3,0.483046
528,25,5,2,2.5,0.971825
529,23,4,2,2.3,0.674949
530,22,4,2,2.2,0.632456
531,31,4,2,3.1,0.567646
532,21,3,2,2.1,0.316228
533,18,2,1,1.8,0.421637
534,28,4,2,2.8,0.788811
535,18,3,1,1.8,0.632456
536,22,3,2,2.2,0.421637
537,15,2,1,1.5,0.527046
538,10,1,1,1,0
