Epoch,Total Events,Max events per LP,Mean,Std Dev
609,9,2,0.067164179,0.279574359
610,376,12,2.647887324,1.921129924
611,2,1,0.011627907,0.10751701
612,2,1,0.011627907,0.10751701
613,6,1,0.035087719,0.18454194
614,6,1,0.034883721,0.184021002
615,1,1,0.005882353,0.076696499
616,1,1,0.005882353,0.076696499
617,2,1,0.01183432,0.108461409
618,2,1,0.01183432,0.108461409
619,1,1,0.00591716,0.076923077
620,1,1,0.00591716,0.076923077
621,4,1,0.023809524,0.152911111
622,4,1,0.023809524,0.152911111
623,1,1,0.006024096,0.077615053
624,1,1,0.006024096,0.077615053
625,2,1,0.012121212,0.109760204
626,2,1,0.012048193,0.109431136
627,7,2,0.042424242,0.230363317
628,9,2,0.054216867,0.275373556
629,4,1,0.02484472,0.156137382
630,6,2,0.037037037,0.219793491
631,3,1,0.018987342,0.136914078
632,3,1,0.018987342,0.136914078
633,1,1,0.006410256,0.080064077
634,1,1,0.006410256,0.080064077
635,5,1,0.032258065,0.177257419
636,6,1,0.038709677,0.193527439
637,9,2,0.06,0.289178424
638,14,2,0.093333333,0.372667991
639,8,2,0.055555556,0.284267622
640,4,2,0.028571429,0.2057748
641,7,2,0.050724638,0.303807079
642,8,2,0.057971014,0.31433201
643,9,2,0.067164179,0.279574359
644,438,10,3.020689655,1.991192292
645,6,1,0.024291498,0.154265253
646,6,1,0.024193548,0.153960386
647,7,2,0.028688525,0.190290879
648,9,2,0.036437247,0.226963562
649,17,2,0.070247934,0.271814138
650,21,2,0.085714286,0.321370018
651,2,1,0.00862069,0.092646482
652,2,1,0.00862069,0.092646482
653,1,1,0.004347826,0.065938047
654,1,1,0.004347826,0.065938047
655,15,2,0.065502183,0.28111204
656,19,2,0.081545064,0.331211489
657,1,1,0.004504505,0.067115606
658,1,1,0.004504505,0.067115606
659,1,1,0.004524887,0.067267279
660,1,1,0.004524887,0.067267279
661,22,2,0.1,0.343232019
662,22,2,0.099547511,0.342517118
663,1,1,0.004807692,0.069337525
664,1,1,0.004807692,0.069337525
665,2,1,0.009661836,0.098055768
666,2,1,0.009661836,0.098055768
667,5,1,0.024390244,0.154635067
668,8,2,0.038834951,0.2174051
669,14,2,0.069651741,0.308422402
670,17,2,0.083743842,0.355830883
671,1,1,0.005208333,0.072168784
672,1,1,0.005208333,0.072168784
673,8,2,0.041884817,0.247778779
674,14,2,0.072916667,0.346856992
675,1,1,0.005376344,0.073323558
676,1,1,0.005376344,0.073323558
677,22,2,0.118918919,0.412993998
678,26,2,0.140540541,0.444446077
679,2,1,0.011494253,0.106900945
680,2,1,0.011494253,0.106900945
681,1,1,0.005813953,0.076249285
682,1,1,0.005813953,0.076249285
683,11,1,0.064327485,0.24605592
684,16,4,0.094674556,0.425980711
685,27,5,0.166666667,0.632946378
686,23,5,0.144654088,0.560701166
687,1,1,0.006711409,0.081923192
688,1,1,0.006711409,0.081923192
689,11,3,0.074324324,0.370534018
690,11,3,0.075342466,0.372977145
691,15,3,0.104895105,0.47044011
692,16,3,0.114285714,0.510123617
693,515,10,3.576388889,1.930903847
694,6,2,0.028436019,0.193087494
695,6,2,0.028301887,0.192639298
696,6,1,0.028846154,0.16777779
697,6,1,0.028708134,0.167385885
698,5,1,0.024390244,0.154635067
699,5,1,0.024390244,0.154635067
700,6,1,0.02970297,0.170188397
701,7,1,0.034653465,0.183354939
702,6,2,0.03030303,0.199213961
703,5,2,0.025252525,0.186794186
704,2,1,0.010152284,0.100501179
705,2,1,0.010152284,0.100501179
706,1,1,0.005128205,0.071611487
707,1,1,0.005128205,0.071611487
708,8,1,0.041237113,0.199352619
709,11,2,0.056410256,0.252609955
710,1,1,0.005319149,0.072932496
711,1,1,0.005319149,0.072932496
712,1,1,0.005347594,0.073127242
713,1,1,0.005347594,0.073127242
714,5,1,0.02688172,0.162174271
715,1,1,0.005376344,0.073323558
716,6,1,0.032258065,0.177161579
717,1,1,0.005434783,0.073720978
718,1,1,0.005434783,0.073720978
719,1,1,0.005464481,0.073922127
720,1,1,0.005464481,0.073922127
721,4,1,0.021978022,0.14701614
722,8,2,0.043956044,0.253683925
723,9,2,0.05027933,0.243424607
724,1,1,0.005617978,0.074953169
725,1,1,0.005617978,0.074953169
726,6,1,0.033898305,0.181480812
727,15,3,0.087719298,0.35714728
728,25,3,0.142857143,0.463796003
729,1,1,0.00621118,0.078811041
730,1,1,0.00621118,0.078811041
731,1,1,0.00625,0.079056942
732,1,1,0.00625,0.079056942
733,5,1,0.031446541,0.17507263
734,10,2,0.063694268,0.292678363
735,21,2,0.134615385,0.455596574
736,1,1,0.006622517,0.081378846
737,1,1,0.006622517,0.081378846
738,16,2,0.106666667,0.42007776
739,1,1,0.006944444,0.083333333
740,1,1,0.006944444,0.083333333
741,1,1,0.006993007,0.083624201
742,1,1,0.006993007,0.083624201
743,12,3,0.084507042,0.420957331
744,15,3,0.104895105,0.455224549
745,1,1,0.00729927,0.085435766
746,1,1,0.00729927,0.085435766
747,2,1,0.014705882,0.120817838
748,565,17,3.487654321,2.505243332
749,4,1,0.019323671,0.137993691
750,4,1,0.019230769,0.13766649
751,7,2,0.034146341,0.207234068
752,7,2,0.034146341,0.207234068
753,2,1,0.00990099,0.099255889
754,2,1,0.00990099,0.099255889
755,6,1,0.03,0.171015295
756,8,2,0.039800995,0.220018091
757,1,1,0.005102041,0.071428571
758,1,1,0.005102041,0.071428571
759,7,1,0.035897436,0.186513286
760,8,1,0.040816327,0.19837118
761,12,1,0.063492063,0.244493563
762,13,2,0.067708333,0.271892646
763,8,1,0.044444444,0.206655253
764,9,1,0.05,0.218552884
765,1,1,0.005714286,0.075592895
766,1,1,0.005714286,0.075592895
767,2,1,0.011494253,0.106900945
768,2,1,0.011494253,0.106900945
769,10,3,0.058139535,0.319160125
770,11,3,0.063953488,0.344518578
771,4,2,0.024242424,0.189721077
